0,Lopez misses UK charity premiere,entertainment
1,Music mogul Fuller sells company,entertainment
2,Hobbit picture 'four years away',entertainment
3,US 'to raise TV indecency fines',entertainment
4,Surprise win for anti-Bush film,entertainment
5,No UK premiere for Rings musical,entertainment
6,Volcano drama erupts on BBC One,entertainment
7,Pupils to get anti-piracy lessons,entertainment
8,De Niro completes box office coup,entertainment
9,Sideways dominates Spirit awards,entertainment
10,Hundreds vie for best film Oscar,entertainment
11,TOTP turns to Elvis impersonator,entertainment
12,Famed music director Viotti dies,entertainment
13,Da Vinci film to star Tom Hanks,entertainment
14,New York rockers top talent poll,entertainment
15,Rapper Snoop Dogg sued for 'rape',entertainment
16,Church anger over Bollywood film,entertainment
17,West End to honour finest shows,entertainment
18,Eurovision 'greats' to do battle,entertainment
19,Brits return Keane to number one,entertainment
20,Incredibles win animation awards,entertainment
21,Mogul Wilson backing UK rap band,entertainment
22,Rap boss arrested over drug find,entertainment
23,Hollywood ready for Oscars night,entertainment
24,TV station refuses adoption show,entertainment
25,Oscars steer clear of controversy,entertainment
26,Dirty Den's demise seen by 14m,entertainment
27,Halloween writer Debra Hill dies,entertainment
28,Snow Patrol feted at Irish awards,entertainment
29,Wine comedy wins critics' award,entertainment
30,Spider-Man creator wins profits,entertainment
31,Spector facing more legal action,entertainment
32,Mutant book wins Guardian prize,entertainment
33,Muslim group attacks TV drama 24,entertainment
34,German music in a 'zombie' state,entertainment
35,Top stars join US tsunami TV show,entertainment
36,Greer attacks 'bully' Big Brother,entertainment
37,US actor 'found with gun residue',entertainment
38,Usher leads Soul Train shortlist,entertainment
39,Tarantino to direct CSI episode,entertainment
40,Aviator and Vera take Bafta glory,entertainment
41,Media seek Jackson 'juror' notes,entertainment
42,Career honour for actor DiCaprio,entertainment
43,Dutch watch Van Gogh's last film,entertainment
44,Da Vinci Code is 'lousy history',entertainment
45,Jugnot 'tops French actor league',entertainment
46,Police praise 'courageous' Ozzy,entertainment
47,Celebrities get to stay in jungle,entertainment
48,Levy takes Whitbread novel prize,entertainment
49,Arnold congratulated on Oscar win,entertainment
50,Rapper Kanye West's shrewd soul,entertainment
51,Usher leads Billboard nominations,entertainment
52,Scissor Sisters triumph at Brits,entertainment
53,Musical treatment for Capra film,entertainment
54,Oasis star fined for German brawl,entertainment
55,BBC 'should allow more scrutiny',entertainment
56,Elvis set to top UK singles chart,entertainment
57,Pop band Busted to 'take a break',entertainment
58,BBC to pour £9m into new comedy,entertainment
59,Arthur Hailey: King of the bestsellers,entertainment
60,Star Trek fans fight to save show,entertainment
61,Smith loses US box office crown,entertainment
62,Spears seeks aborted tour payment,entertainment
63,Lost Doors frontman movie found,entertainment
64,Dance music not dead says Fatboy,entertainment
65,Sundance to honour foreign films,entertainment
66,Eastwood's Baby scoops top Oscars,entertainment
67,Doves soar to UK album summit,entertainment
68,Ethnic producers 'face barriers',entertainment
69,Campaigners attack MTV 'sleaze',entertainment
70,Housewives lift Channel 4 ratings,entertainment
71,Rocker Doherty in on-stage fight,entertainment
72,DVD review: I Robot,entertainment
73,'My memories of Marley...',entertainment
74,Foxx and Swank win US awards,entertainment
75,Carry On star Patsy Rowlands dies,entertainment
76,School tribute for TV host Carson,entertainment
77,Douglas set for Indian adventure,entertainment
78,Oscars race enters final furlong,entertainment
79,Elvis fans hold birthday bash,entertainment
80,Alicia Keys to open US Super Bowl,entertainment
81,Rock band U2 break ticket record,entertainment
82,Fantasy book wins Hollywood deal,entertainment
83,Shark Tale DVD is US best-seller,entertainment
84,'Landmark movies' of 2004 hailed,entertainment
85,Bafta to hand out movie honours,entertainment
86,The Sound of Music is coming home,entertainment
87,Baby becomes new Oscar favourite,entertainment
88,Legendary music studio to close,entertainment
89,Prince crowned 'top music earner',entertainment
90,Tautou film tops Cesar prize nods,entertainment
91,Indie film nominations announced,entertainment
92,Springer criticises Opera musical,entertainment
93,Goodrem wins top female MTV prize,entertainment
94,Howl helps boost Japan's cinemas,entertainment
95,Comic Morris returns with sitcom,entertainment
96,Elvis regains top chart position,entertainment
97,Ocean's Twelve raids box office,entertainment
98,J-Lo and husband plan debut duet,entertainment
99,REM announce new Glasgow concert,entertainment
100,Singer Christina Aguilera to wed,entertainment
101,Stars pay tribute to actor Davis,entertainment
102,TV show unites Angolan families,entertainment
103,Jackson film 'absolute disaster',entertainment
104,De Niro film leads US box office,entertainment
105,Lit Idol begins search for author,entertainment
106,Paraguay novel wins US book prize,entertainment
107,Berlin applauds Hotel Rwanda,entertainment
108,Boogeyman takes box office lead,entertainment
109,Horror film heads US box office,entertainment
110,Day-Lewis set for Berlin honour,entertainment
111,Actress Roberts takes spider role,entertainment
112,US TV special for tsunami relief,entertainment
113,Fears raised over ballet future,entertainment
114,UK Directors Guild nominees named,entertainment
115,Berlin honours S Korean director,entertainment
116,Potter director signs Warner deal,entertainment
117,Glastonbury fans to get ID cards,entertainment
118,Applegate's Charity show closes,entertainment
119,Belle named 'best Scottish band',entertainment
120,Gallery unveils interactive tree,entertainment
121,Snicket tops US box office chart,entertainment
122,US TV host Clark suffers stroke,entertainment
123,Bening makes awards breakthrough,entertainment
124,Singer's film to show at festival,entertainment
125,Wife Swap makers sue US 'copycat',entertainment
126,Film star Fox behind theatre bid,entertainment
127,Willis sues over movie 'injury',entertainment
128,Casino Royale is next Bond movie,entertainment
129,Rapper 50 Cent ends protege feud,entertainment
