5,0
13,1
6,2
10,3
0,4
0,5
6,6
15,7
11,8
5,9
5,10
15,11
11,2
8,12
13,13
10,14
4,15
2,16
2,17
12,18
4,19
0,20
14,21
21,9
9,22
10,23
1,24
8,25
0,26
2,27
8,28
3,29
8,30
6,31
1,32
5,33
5,34
3,35
13,36
8,37
5,38
13,39
14,40
40,13
14,41
14,42
3,43
5,44
15,45
7,46
7,47
0,48
4,49
3,50
15,51
4,52
10,53
9,54
6,55
4,56
14,57
6,58
15,59
14,60
2,61
4,62
12,63
12,64
5,65
5,66
11,67
10,68
8,69
6,70
5,71
12,72
2,73
7,74
3,75
8,76
15,77
6,78
1,79
5,80
9,81
10,82
82,14
10,83
1,84
6,85
11,86
9,87
12,88
11,89
14,90
8,91
13,92
8,93
0,94
3,95
3,96
12,97
5,98
9,99
1,100
0,101
8,102
7,103
4,104
2,105
15,106
13,107
8,108
1,109
1,110
8,111
5,112
0,113
6,114
7,115
0,116
14,117
14,118
7,119
0,120
7,121
11,122
3,123
11,124
5,125
13,126
8,127
10,128
8,129
10,130
130,13
14,131
8,132
9,133
133,11
6,134
134,15
3,135
8,136
9,137
14,138
8,139
11,140
10,141
14,142
7,143
143,9
0,144
11,145
14,146
0,147
2,148
4,149
5,150
9,151
5,152
2,153
153,11
10,154
3,155
8,156
9,157
10,158
1,159
3,160
11,161
2,162
12,163
3,164
8,165
1,166
2,167
0,168
10,169
4,170
11,171
7,172
1,173
9,174
5,175
8,176
4,177
9,178
14,179
4,180
10,181
3,182
6,183
183,7
3,184
2,185
185,1
8,186
2,187
8,188
12,189
8,190
8,191
3,192
15,193
11,194
8,195
4,196
3,197
15,198
6,199
0,200
15,201
3,202
0,203
203,9
0,204
204,7
15,205
12,206
2,207
207,4
14,208
11,209
6,210
0,211
211,9
8,212
5,213
213,11
7,214
4,215
12,216
15,217
0,218
7,219
219,14
10,220
1,221
5,222
6,223
7,224
9,225
15,226
226,1
14,227
11,228
9,229
15,230
12,231
6,232
7,233
7,234
6,235
11,236
14,237
1,238
0,239
1,240
3,241
241,6
9,242
15,243
6,244
244,2
4,245
14,246
3,247
0,248
3,249
7,250
5,251
9,252
3,253
11,254
9,255
9,256
13,257
14,258
13,259
4,260
12,261
5,262
8,263
7,264
264,3
8,265
4,266
13,267
5,268
3,269
2,270
270,14
3,271
4,272
5,273
15,274
5,275
275,8
11,276
5,277
4,278
13,279
14,280
13,281
14,282
6,283
2,284
5,285
0,286
4,287
12,288
10,289
8,290
14,291
6,292
9,293
11,294
4,295
13,296
0,297
9,298
11,299
4,300
13,301
10,302
1,303
9,304
7,305
305,8
6,306
306,0
7,307
5,308
15,309
309,11
5,310
7,311
1,312
1,313
313,11
13,314
10,315
11,316
7,317
10,318
1,319
4,320
10,321
321,5
11,322
322,12
3,323
7,324
5,325
10,326
2,327
14,328
8,329
14,330
1,331
3,332
14,333
4,334
7,335
2,336
13,337
3,338
10,339
3,340
2,341
6,342
5,343
15,344
344,5
0,345
15,346
7,347
3,348
11,349
12,350
13,351
5,352
7,353
6,354
12,355
7,356
10,357
12,358
12,359
11,360
10,361
14,362
6,363
363,5
1,364
3,365
365,1
9,366
3,367
15,368
9,369
1,370
14,371
7,372
9,373
8,374
7,375
375,10
5,376
11,377
5,378
4,379
379,0
15,380
5,381
4,382
1,383
6,384
13,385
1,386
14,387
0,388
388,3
14,389
7,390
0,391
15,392
2,393
6,394
12,395
12,396
7,397
0,398
8,399
11,400
8,401
7,402
5,403
2,404
3,405
7,406
406,6
4,407
407,12
4,408
14,409
409,4
14,410
1,411
10,412
1,413
15,414
10,415
1,416
14,417
14,418
418,10
3,419
14,420
12,421
2,422
1,423
7,424
424,4
6,425
14,426
6,427
9,428
13,429
14,430
9,431
6,432
3,433
8,434
12,435
4,436
15,437
3,438
10,439
10,440
6,441
4,442
10,443
443,15
14,444
9,445
1,446
13,447
447,4
9,448
11,449
4,450
9,451
12,452
6,453
1,454
6,455
7,456
1,457
11,458
7,459
12,460
8,461
8,462
13,463
1,464
2,465
15,466
3,467
6,468
1,469
469,14
13,470
11,471
6,472
7,473
13,474
7,475
8,476
15,477
477,11
1,478
3,479
5,480
12,481
15,482
8,483
8,484
7,485
485,2
12,486
486,4
10,487
7,488
2,489
489,3
11,490
13,491
9,492
6,493
0,494
1,495
14,496
7,497
3,498
4,499
6,500
0,501
9,502
3,503
15,504
3,505
0,506
9,507
0,508
7,509
13,510
11,511
15,512
512,14
7,513
3,514
514,11
8,515
2,516
15,517
517,14
15,518
3,519
15,520
520,1
10,521
12,522
7,523
2,524
8,525
7,526
3,527
14,528
528,5
10,529
11,530
2,531
0,532
13,533
13,534
3,535
2,536
1,537
13,538
11,539
2,540
9,541
1,542
9,543
9,544
12,545
14,546
14,547
1,548
11,549
549,3
9,550
11,551
6,552
11,553
15,554
14,555
3,556
4,557
0,558
5,559
13,560
11,561
8,562
2,563
3,564
6,565
4,566
12,567
0,568
8,569
15,570
6,571
1,572
3,573
2,574
2,575
3,576
7,577
15,578
14,579
9,580
3,581
8,582
1,583
3,584
3,585
10,586
14,587
6,588
6,589
1,590
6,591
12,592
0,593
12,594
5,595
12,596
15,597
7,598
598,1
11,599
8,600
8,601
5,602
2,603
10,604
4,605
8,606
606,14
14,607
8,608
6,609
609,0
12,610
9,611
6,612
14,613
8,614
1,615
1,616
13,617
617,9
1,618
1,619
9,620
5,621
14,622
12,623
12,624
5,625
